Date HPI_NY HPI_CA MTG
12/1/2011 122.35 134.45 0.0440
1/1/2012 123.40 145.55 0.0440
2/1/2012 124.45 135.45 0.0440
3/1/2012 125.50 145.55 0.0440
4/1/2012 126.55 136.45 0.0440
5/1/2012 127.60 145.55 0.0440
6/1/2012 128.65 137.45 0.0440
7/1/2012 129.70 145.55 0.0440
8/1/2012 130.75 138.45 0.0440
9/1/2012 131.80 145.55 0.0440
10/1/2012 132.85 139.45 0.0440
11/1/2012 133.90 145.55 0.0440
12/1/2012 134.95 140.45 0.0440
1/1/2013 136.00 145.55 0.0440
2/1/2013 137.05 141.45 0.0440
3/1/2013 138.10 145.55 0.0440
4/1/2013 139.15 142.45 0.0440
5/1/2013 140.20 145.55 0.0440
6/1/2013 141.25 143.45 0.0440
7/1/2013 142.30 145.55 0.0440
8/1/2013 143.35 144.45 0.0440
9/1/2013 144.40 145.55 0.0440
10/1/2013 145.45 145.45 0.0448
11/1/2013 145.72 143.54 0.0450
12/1/2013 146.00 143.45 0.0450
1/1/2014 146.28 142.54 0.0452
2/1/2014 146.58 143.32 0.0456
3/1/2014 146.90 144.43 0.0460
4/1/2014 147.24 145.00 0.0464
5/1/2014 147.58 146.23 0.0467
6/1/2014 147.92 147.92 0.0470
7/1/2014 148.24 148.54 0.0472
8/1/2014 148.54 148.85 0.0475
9/1/2014 148.83 149.14 0.0480
10/1/2014 149.13 149.44 0.0487
11/1/2014 149.43 149.74 0.0495
12/1/2014 149.76 150.07 0.0500
1/1/2015 150.10 150.42 0.0501
2/1/2015 150.48 150.79 0.0499
3/1/2015 150.87 151.18 0.0500
4/1/2015 151.27 151.58 0.0505
5/1/2015 151.67 151.98 0.0513
6/1/2015 152.06 152.37 0.0520
7/1/2015 152.43 152.74 0.0524
8/1/2015 152.78 153.10 0.0527
9/1/2015 153.15 153.47 0.0530
